id,airline,flight,airportfrom,airportto,dayofweek,time,length,delay
1,CO,269,SFO,IAH,3,15,205,1
2,US,1558,PHX,CLT,3,15,222,1
3,AA,2400,LAX,DFW,3,20,165,1
4,AA,2466,SFO,DFW,3,20,195,1
5,AS,108,ANC,SEA,3,30,202,0
6,CO,1094,LAX,IAH,3,30,181,1
7,DL,1768,LAX,MSP,3,30,220,0
8,DL,2722,PHX,DTW,3,30,228,0
9,DL,2606,SFO,MSP,3,35,216,1
10,AA,2538,LAS,ORD,3,40,200,1
11,CO,223,ANC,SEA,3,49,201,1
12,DL,1646,PHX,ATL,3,50,212,1
13,DL,2055,SLC,ATL,3,50,210,0
14,AA,2408,LAX,DFW,3,55,170,0
15,AS,132,ANC,PDX,3,55,215,0
16,US,498,DEN,CLT,3,55,179,0
17,B6,98,DEN,JFK,3,59,213,0
18,CO,1496,LAS,IAH,3,60,162,0
19,DL,1450,LAS,MSP,3,60,181,0
20,CO,507,ONT,IAH,3,75,167,0
21,AS,128,FAI,SEA,3,80,206,0
22,DL,2223,ANC,SLC,3,85,270,0
23,AS,112,ANC,SEA,3,90,200,0
24,HA,17,LAS,HNL,3,100,380,1
25,US,122,ANC,PHX,3,113,327,1
26,AS,114,ANC,SEA,3,150,200,0
27,B6,766,BQN,MCO,3,240,169,0
28,B6,768,PSE,MCO,3,262,180,0
29,HA,206,HNL,OGG,3,300,36,1
30,OO,4746,BIS,MSP,3,300,85,0
31,OO,6466,IYK,LAX,3,300,53,0
32,US,1011,EWR,CLT,3,300,111,0
33,US,1983,BOS,CLT,3,300,135,0
35,OO,6900,MKE,ORD,3,302,44,0
36,9E,3975,GFK,MSP,3,305,68,0
37,HA,102,HNL,ITO,3,305,49,0
38,OO,4829,OMA,MSP,3,305,75,0
39,OH,6338,GSO,ATL,3,315,93,1
40,OO,6505,LMT,SFO,3,315,95,0
41,US,149,SEA,PHX,3,315,166,1
42,US,1640,MCO,CLT,3,315,97,0
43,US,908,TPA,CLT,3,315,96,0
44,HA,106,HNL,OGG,3,317,36,0
45,9E,3854,DLH,MSP,3,320,58,1
46,DL,1276,MSP,ATL,3,320,158,0
47,OO,4651,FAR,MSP,3,320,62,1
48,CO,1585,MFE,IAH,3,325,64,0
49,CO,222,MSY,IAH,3,325,70,0
50,EV,4966,VPS,ATL,3,325,69,0
51,US,1521,BWI,CLT,3,325,83,0
52,XE,2827,MAF,IAH,3,325,85,0
53,OO,4719,LWS,SLC,3,328,87,1
54,9E,3702,RST,MSP,3,330,50,0
55,9E,3775,ALB,DTW,3,330,120,1
56,9E,3886,DSM,ATL,3,330,135,1
57,AA,1711,BOS,MIA,3,330,210,0
